name,points,competition,event,distance_or_time
SEBRLE,8217,Decastar,x100m,11.04
SEBRLE,8217,Decastar,long_jump,7.58
SEBRLE,8217,Decastar,shot_put,14.83
SEBRLE,8217,Decastar,high_jump,2.07
SEBRLE,8217,Decastar,x400m,49.81
SEBRLE,8217,Decastar,x110m_hurdle,14.69
SEBRLE,8217,Decastar,discus,43.75
SEBRLE,8217,Decastar,pole_vault,5.02
SEBRLE,8217,Decastar,javelin,63.19
SEBRLE,8217,Decastar,x1500m,291.7
CLAY,8122,Decastar,x100m,10.76
CLAY,8122,Decastar,long_jump,7.4
CLAY,8122,Decastar,shot_put,14.26
CLAY,8122,Decastar,high_jump,1.86
CLAY,8122,Decastar,x400m,49.37
CLAY,8122,Decastar,x110m_hurdle,14.05
CLAY,8122,Decastar,discus,50.72
CLAY,8122,Decastar,pole_vault,4.92
CLAY,8122,Decastar,javelin,60.15
CLAY,8122,Decastar,x1500m,301.5
KARPOV,8099,Decastar,x100m,11.02
KARPOV,8099,Decastar,long_jump,7.3
KARPOV,8099,Decastar,shot_put,14.77
KARPOV,8099,Decastar,high_jump,2.04
KARPOV,8099,Decastar,x400m,48.37
KARPOV,8099,Decastar,x110m_hurdle,14.09
KARPOV,8099,Decastar,discus,48.95
KARPOV,8099,Decastar,pole_vault,4.92
KARPOV,8099,Decastar,javelin,50.31
KARPOV,8099,Decastar,x1500m,300.2
BERNARD,8067,Decastar,x100m,11.02
BERNARD,8067,Decastar,long_jump,7.23
BERNARD,8067,Decastar,shot_put,14.25
BERNARD,8067,Decastar,high_jump,1.92
BERNARD,8067,Decastar,x400m,48.93
BERNARD,8067,Decastar,x110m_hurdle,14.99
BERNARD,8067,Decastar,discus,40.87
BERNARD,8067,Decastar,pole_vault,5.32
BERNARD,8067,Decastar,javelin,62.77
BERNARD,8067,Decastar,x1500m,280.1
YURKOV,8036,Decastar,x100m,11.34
YURKOV,8036,Decastar,long_jump,7.09
YURKOV,8036,Decastar,shot_put,15.19
YURKOV,8036,Decastar,high_jump,2.1
YURKOV,8036,Decastar,x400m,50.42
YURKOV,8036,Decastar,x110m_hurdle,15.31
YURKOV,8036,Decastar,discus,46.26
YURKOV,8036,Decastar,pole_vault,4.72
YURKOV,8036,Decastar,javelin,63.44
YURKOV,8036,Decastar,x1500m,276.4
WARNERS,8030,Decastar,x100m,11.11
WARNERS,8030,Decastar,long_jump,7.6
WARNERS,8030,Decastar,shot_put,14.31
WARNERS,8030,Decastar,high_jump,1.98
WARNERS,8030,Decastar,x400m,48.68
WARNERS,8030,Decastar,x110m_hurdle,14.23
WARNERS,8030,Decastar,discus,41.1
WARNERS,8030,Decastar,pole_vault,4.92
WARNERS,8030,Decastar,javelin,51.77
WARNERS,8030,Decastar,x1500m,278.1
ZSIVOCZKY,8004,Decastar,x100m,11.13
ZSIVOCZKY,8004,Decastar,long_jump,7.3
ZSIVOCZKY,8004,Decastar,shot_put,13.48
ZSIVOCZKY,8004,Decastar,high_jump,2.01
ZSIVOCZKY,8004,Decastar,x400m,48.62
ZSIVOCZKY,8004,Decastar,x110m_hurdle,14.17
ZSIVOCZKY,8004,Decastar,discus,45.67
ZSIVOCZKY,8004,Decastar,pole_vault,4.42
ZSIVOCZKY,8004,Decastar,javelin,55.37
ZSIVOCZKY,8004,Decastar,x1500m,268
MCMULLEN,7995,Decastar,x100m,10.83
MCMULLEN,7995,Decastar,long_jump,7.31
MCMULLEN,7995,Decastar,shot_put,13.76
MCMULLEN,7995,Decastar,high_jump,2.13
MCMULLEN,7995,Decastar,x400m,49.91
MCMULLEN,7995,Decastar,x110m_hurdle,14.38
MCMULLEN,7995,Decastar,discus,44.41
MCMULLEN,7995,Decastar,pole_vault,4.42
MCMULLEN,7995,Decastar,javelin,56.37
MCMULLEN,7995,Decastar,x1500m,285.1
MARTINEAU,7802,Decastar,x100m,11.64
MARTINEAU,7802,Decastar,long_jump,6.81
MARTINEAU,7802,Decastar,shot_put,14.57
MARTINEAU,7802,Decastar,high_jump,1.95
MARTINEAU,7802,Decastar,x400m,50.14
MARTINEAU,7802,Decastar,x110m_hurdle,14.93
MARTINEAU,7802,Decastar,discus,47.6
MARTINEAU,7802,Decastar,pole_vault,4.92
MARTINEAU,7802,Decastar,javelin,52.33
MARTINEAU,7802,Decastar,x1500m,262.1
HERNU,7733,Decastar,x100m,11.37
HERNU,7733,Decastar,long_jump,7.56
HERNU,7733,Decastar,shot_put,14.41
HERNU,7733,Decastar,high_jump,1.86
HERNU,7733,Decastar,x400m,51.1
HERNU,7733,Decastar,x110m_hurdle,15.06
HERNU,7733,Decastar,discus,44.99
HERNU,7733,Decastar,pole_vault,4.82
HERNU,7733,Decastar,javelin,57.19
HERNU,7733,Decastar,x1500m,285.1
BARRAS,7708,Decastar,x100m,11.33
BARRAS,7708,Decastar,long_jump,6.97
BARRAS,7708,Decastar,shot_put,14.09
BARRAS,7708,Decastar,high_jump,1.95
BARRAS,7708,Decastar,x400m,49.48
BARRAS,7708,Decastar,x110m_hurdle,14.48
